gene	cell_logFC	cell_FDR	pct_cluster2	pct_cluster0	pb_logFC	pb_FDR	pb_AveExpr	pb_t	pb_P	direction_concordant	cell_sig	pb_sig	both_sig	both_sig_same_direction
ZNF493	-0.00835124292510611	1.54889282266914e-07	0.061	0.033							TRUE	FALSE	FALSE	FALSE
ZNF496	0.0510718145050721	2.05547201213085e-36	0.119	0.049							TRUE	FALSE	FALSE	FALSE
ZNF500	-0.00867780612123703	1.4569938206792e-10	0.054	0.025							TRUE	FALSE	FALSE	FALSE
ZNF507	0.00881981771493878	4.20217304811422e-29	0.148	0.072							TRUE	FALSE	FALSE	FALSE
ZNF510	-0.00874878678800747	2.98131036724335e-12	0.072	0.036							TRUE	FALSE	FALSE	FALSE
ZNF512	0.0429656867993717	1.83043154890048e-38	0.194	0.094	0.0792576423372003	0.534263130335102	5.94622007788345	0.947578795870725	0.347046210906275	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF516	0.202935700571543	1.3981386095265e-83	0.297	0.129	0.303308488385664	0.00318834722825638	6.70573692679277	3.73513414846748	0.000412265249866357	TRUE	TRUE	TRUE	TRUE	TRUE
ZNF518A	0.0475338895042843	4.16784415611601e-44	0.43	0.246	0.0096776346985215	0.925626252228952	7.62174435073819	0.156625997801323	0.876051778123346	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF518B	0.000610910001845377	3.41827224237146e-16	0.081	0.039							TRUE	FALSE	FALSE	FALSE
ZNF519	-0.0129781833091579	5.09380606978178e-09	0.091	0.053							TRUE	FALSE	FALSE	FALSE
ZNF528	-0.0738634018138588	0.000217087433777195	0.051	0.029							TRUE	FALSE	FALSE	FALSE
ZNF529	-0.0384572405640951	1.39116730265032e-09	0.106	0.063							TRUE	FALSE	FALSE	FALSE
ZNF529-AS1	0.00729928369301727	2.54756979675288e-12	0.073	0.037							TRUE	FALSE	FALSE	FALSE
ZNF532	0.0715355296422592	2.41631064891554e-42	0.293	0.156	-0.0511031166254132	0.626078604252584	7.10648573474894	-0.748803817942625	0.456825015752778	FALSE	TRUE	FALSE	FALSE	FALSE
ZNF536	-0.132838848305163	1	0.068	0.052							FALSE	FALSE	FALSE	FALSE
ZNF540	-0.0654841623371435	0.00364082643632303	0.069	0.044							TRUE	FALSE	FALSE	FALSE
ZNF546	-0.00728569605387858	3.27229698903403e-11	0.068	0.034							TRUE	FALSE	FALSE	FALSE
ZNF549	-0.0410510462730909	0.00211235499876605	0.057	0.035							TRUE	FALSE	FALSE	FALSE
ZNF557	-0.000178839552453236	1.87550545605343e-09	0.054	0.026							TRUE	FALSE	FALSE	FALSE
ZNF559-ZNF177	-0.0044588933265938	2.81130567087852e-10	0.057	0.028							TRUE	FALSE	FALSE	FALSE
ZNF561	0.0545958839942581	1.11936660776032e-27	0.078	0.03							TRUE	FALSE	FALSE	FALSE
ZNF562	0.148197724147749	1.89453083735049e-69	0.227	0.094	0.178275051323555	0.105159274866966	6.35626846503008	2.17236146715508	0.0336852969224455	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF565	-0.00160155765568687	6.5726329373829e-23	0.117	0.057							TRUE	FALSE	FALSE	FALSE
ZNF566	0.0601383485003141	2.25850926309729e-28	0.099	0.042							TRUE	FALSE	FALSE	FALSE
ZNF567	-0.0192828484118674	3.94504260074227e-12	0.072	0.036							TRUE	FALSE	FALSE	FALSE
ZNF568	0.0137686430165258	1.78754245984612e-15	0.083	0.041							TRUE	FALSE	FALSE	FALSE
ZNF569	-0.0389033318751873	1.88478400198694e-06	0.073	0.043							TRUE	FALSE	FALSE	FALSE
