TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
REST	2	6.748093708464706e-14	227.55413122342316	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	REST 21632747 ChIP-Seq MESCs Mouse	40.526436507147615
AR	2	5.053729901885319e-13	169.94242611883783	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	AR 19668381 ChIP-Seq PC3 Human	35.13990167681756
EZH2	2	1.0784499534183042e-06	80.20295199375583	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	EZH2 18974828 ChIP-Seq MESCs Mouse	16.5611185763335
NANOG	2	0.00017954115391266646	34.3410513690598	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	NANOG 16518401 ChIP-PET MESCs Mouse	7.843595117248197
GATA2	2	0.00023242898235870015	173.09412297852825	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	GATA2 26923725 Chip-Seq HEMANGIOBLAST Mouse	4.869842532025459
NFE2L2	2	0.00023923687657611414	41.376615039116125	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	NFE2L2 20460467 ChIP-Seq MEFs Mouse	9.066371954104255
CEBPB	2	0.0015817928864437193	30.23130256638485	ChEA_2022;TRRUST_Transcription_Factors_2019	CEBPB 26923725 Chip-Seq MESODERM Mouse	5.915423242320868
MYC	2	0.0023353005997211683	25.008496885793615	ChEA_2022;TRRUST_Transcription_Factors_2019	MYC 20876797 ChIP-ChIP MEDULLOBLASTOMA Human	3.567225614106458
CTNNB1	2	0.005419368679451528	22.730946743659374	ChEA_2022;TRRUST_Transcription_Factors_2019	CTNNB1 20460455 ChIP-Seq HCT116 Human	3.0490937749378086
GATA1	2	0.010801402587705943	14.208900572923998	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	GATA1 21571218 ChIP-Seq MEGAKARYOCYTES Human	2.2406097033833783
E2F1	2	0.04585595169520051	10.149156877507547	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	E2F1 18555785 Chip-Seq ESCs Mouse	1.4043070965177282
SALL4	2	0.135491959032593	10.222588079884785	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SALL4 28974232 ChIP-Seq Mouse BoneMarrow Leukemia	0.9941015698194775
YY1	2	0.13578270215667662	6.839742107538816	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	YY1 23942234 ChIP-Seq MYOBLASTS AND MYOTUBES Mouse	0.8671620853067825
PBX1	2	0.1396682237760436	46.254339159717055	ChEA_2022;TRRUST_Transcription_Factors_2019	PBX1 22567123 ChIP-ChIP OVCAR3 Human	1.5581400338370202
FOSL1	2	0.1808872677079519	78.3842312444799	ChEA_2022;TRRUST_Transcription_Factors_2019	FOSL1 human	0.9008685151336973
TFAP2A	2	0.18226509425591353	67.37423003045056	ChEA_2022;TRRUST_Transcription_Factors_2019	TFAP2A mouse	0.7392997582911927
TCF7L2	2	0.19370056511458608	6.2654979409755605	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	TCF7L2 21901280 ChIP-Seq H4IIE Rat	0.7128707504877763
CUX1	2	0.19804430401331719	46.254339159717055	ChEA_2022;TRRUST_Transcription_Factors_2019	CUX1 mouse	0.7265355783903858
NFYB	2	0.20847715019811291	5.050668967898222	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	NFYB 21822215 ChIP-Seq K562 Human	0.6809431764758652
TCF3	2	0.220979569545698	4.854903561968858	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	TCF3 18347094 ChIP-ChIP MESCs Mouse	1.0072514095555174
CEBPA	2	0.23008021550749003	19.002011610155247	ChEA_2022;TRRUST_Transcription_Factors_2019	CEBPA mouse	0.6381239873113687
SRF	2	0.23008021550749003	17.88820673407011	ChEA_2022;TRRUST_Transcription_Factors_2019	SRF human	0.6381223559105359
LEF1	2	0.25229945212410415	14.335283778329618	ChEA_2022;TRRUST_Transcription_Factors_2019	LEF1 human	1.3371620236058626
JUND	2	0.2678896779610092	11.266469699963471	ChEA_2022;TRRUST_Transcription_Factors_2019	JUND human	0.572047282642273
MYCN	2	0.2959799917302196	7.287967841732019	ChEA_2022;TRRUST_Transcription_Factors_2019	MYCN human	1.0606243933330548
FOS	2	0.32909052251396853	5.125576482532065	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	FOS mouse	0.9653708878135524
