TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
MYB	1	7.689936584661296e-09	153.85259756309955	ChEA_2022	MYB 21317192 ChIP-Seq ERMYB Mouse	11.435502007188715
FOXM1	1	8.814821511254262e-08	90.1546719592133	ChEA_2022	FOXM1 26456572 ChIP-Seq MCF-7 Human	12.612069710837245
NCOR	1	9.515175717320022e-08	89.02952548550144	ChEA_2022	NCOR 22465074 ChIP-Seq MACROPHAGES Mouse	7.4274738383794165
NERF2	1	9.52584845093813e-08	108.00127870614128	ChEA_2022	Nerf2 26677805 Chip-Seq MACROPHAGESS Mouse	7.021096332067012
UBTF	1	3.5408661565900415e-07	85.75723288173319	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	UBTF ENCODE	6.450890489099829
LEF1	1	3.7910748761829885e-07	67.98693319628137	ChEA_2022	LEF1 29337183 ChIP-Seq mESC Mouse Stem	6.421237637891696
OLIG2	1	8.414792073961991e-07	70.36296856381364	ChEA_2022	OLIG2 23332759 ChIP-Seq OLIGODENDROCYTES Mouse	6.558859599707561
SCL	1	1.6256388137821502e-06	189.51122224974844	ChEA_2022	SCL 19346495 ChIP-Seq HPC-7 Human	11.164252044164076
TCFCP2L1	1	1.7240621342029343e-06	67.79238343962919	ChEA_2022	TCFCP2L1 18555785 Chip-Seq ESCs Mouse	5.916181131248996
TEAD4	1	1.74905934379454e-06	64.03030881439187	ChEA_2022	TEAD4 22529382 ChIP-Seq TROPHECTODERM Mouse	8.612924525822788
PPAR	1	4.214284937222792e-06	74.35610320944058	ChEA_2022	PPAR 26484153 Chip-Seq NCI-H1993 Human	5.37527610411471
YAP1	1	6.137569172486288e-06	54.57187709317248	ChEA_2022	YAP1 20516196 ChIP-Seq MESCs Mouse	5.212003600195279
TAL1	1	2.6804487799806495e-05	43.74861579939458	ChEA_2022	TAL1 30185409 ChIP-Seq HPC Mouse BoneMarrow Leukemia	13.738590680995447
RUNX	1	2.6804487799806495e-05	79.46836140139395	ChEA_2022	RUNX 20019798 ChIP-Seq JUKART Human	4.57179248718305
P300	1	4.9727970858725736e-05	44.475405109760295	ChEA_2022	P300 19829295 ChIP-Seq ESCs Human	9.249205869719185
SOX9	1	8.6246278504358e-05	44.04468551151781	ChEA_2022	SOX9 26525672 Chip-Seq HEART Mouse	11.686802828087894
SMAD2/3	1	0.00011371468112533603	39.46383916679888	ChEA_2022	SMAD2/3 21741376 ChIP-Seq EPCs Human	4.053926235011745
PHOX2B	1	0.00012553056560982173	50.23925432099733	ChEA_2022	PHOX2B 30127528 ChIP-Seq BE2C Human Brain Neuroblastoma	7.6843578917609054
PAX3-FKHR	1	0.00015567090923601317	45.37008472935164	ChEA_2022	PAX3-FKHR 20663909 ChIP-Seq RHABDOMYOSARCOMA Human	3.807792537969299
EBF1	1	0.00016574580243579424	37.008022210100386	ChEA_2022	EBF1 22473956 ChIP-Seq BONE MARROW Mouse	5.36209895272783
LMO2	1	0.00018035332016165016	36.11639232696478	ChEA_2022	LMO2 26923725 Chip-Seq HEMOGENIC-ENDOTHELIUM Mouse	7.315834433573208
