TF	reference_n_libs	reference_best_adjP	reference_aggregate_score	pooledDown_n_libs	pooledDown_best_adjP	pooledDown_aggregate_score	joint_score
SMAD2	1	0.9999962435678172	1.631400832739695e-06	1	0.14876973583662742	0.8274854081446816	0.8274870395455144
CRX	1	0.9637234608961922	0.016049199817861893	1	0.18497899559291084	0.7895555544397713	0.8056047542576332
SMC3	2	0.45029226406011646	0.3465071523214608	2	0.4091446877654383	0.4513871861209753	0.7978943384424361
GTF3C2	1	0.5320121735251573	0.27407843004646837	1	0.30312939795621646	0.518371943041667	0.7924503730881354
STAT5A	1	0.9999962435678172	1.631400832739695e-06	1	0.24708003287455613	0.7896576494738031	0.7896592808746359
EOMES	1	0.38674547162815115	0.412576394119071	1	0.4441039178211138	0.3647491532084494	0.7773255473275205
TET1	1	0.7162724587633013	0.14492337888394644	1	0.30312939795621646	0.62968449202443	0.7746078709083765
FOSL2	1	0.19804430401331719	0.7032376438992175	1	0.8644420749148082	0.06326410289635898	0.7665017467955765
FOXP3	1	0.9999962435678172	1.631400832739695e-06	1	0.4197289650459922	0.752722097024981	0.7527237284258138
GFI1B	1	0.9999962435678172	1.631400832739695e-06	1	0.18375376411373667	0.7357637558242759	0.7357653872251086
ATF3	1	0.9999962435678172	3.26280166547939e-06	1	0.38526958357499697	0.7230216213463101	0.7230248841479756
CREM	1	0.9999962435678172	1.631400832739695e-06	1	0.18945309841976596	0.7224982876410156	0.7224999190418484
E2F4	1	0.9999962435678172	1.631400832739695e-06	2	0.24708003287455613	0.7112532249469051	0.7112548563477379
HNFA	1	0.8596177135184431	0.06569464389714438	1	0.22678415675461283	0.6443872887314398	0.7100819326285842
NFE2	1	0.4718512194882269	0.32619491819025664	1	0.41533527675784593	0.38160118025389406	0.7077960984441507
MYB	1	0.9999962435678172	1.631400832739695e-06	1	0.3345156297557665	0.6999503032714595	0.6999519346722922
BRD4	1	0.9999962435678172	4.894202498219085e-06	1	0.25966603622402024	0.6996691115956397	0.699674005798138
KLF6	1	0.9999962435678172	1.631400832739695e-06	2	0.290038296483416	0.6987270055573643	0.6987286369581971
HOXB13	1	0.9999962435678172	1.631400832739695e-06	1	0.20269518592834143	0.6931565658091338	0.6931581972099665
TCFAP2C	1	0.9999962435678172	1.631400832739695e-06	1	0.20511834584670027	0.6879954944650353	0.687997125865868
EWS-FLI1	1	0.8845220310553484	0.05329134551671003	1	0.24708003287455613	0.6071623495504788	0.6604536950671888
WDR5	1	0.806579890747575	0.09335260980946901	1	0.27339913906197394	0.5632028573659387	0.6565554671754077
ZIC3	1	0.9999962435678172	1.631400832739695e-06	1	0.22071460691651446	0.6561689242315405	0.6561705556323733
NRF1	1	0.23008021550749003	0.6381207245097031	1	0.9607257342856498	0.017400576001192918	0.6555213005108961
SRY	1	0.331922973364854	0.47896268775318274	1	0.700599160368042	0.15453038749755088	0.6334930752507336
CHD1	2	0.9999962278025855	3.2696484444237117e-06	2	0.2511378940203652	0.633428772357905	0.6334320420063494
NACC1	1	0.9999962435678172	1.631400832739695e-06	1	0.24415415013654662	0.6123358891718593	0.6123375205726921
PU1	1	0.806579890747575	0.09335260980946901	1	0.3058393891796966	0.5145065823580843	0.6078591921675534
OCT1	1	0.6861333724647103	0.16359145674880357	1	0.3610300214390994	0.44245668284993384	0.6060481395987374
RARA	1	0.9999962435678172	1.631400832739695e-06	1	0.2634280309250845	0.5793380143842052	0.5793396457850379
ZFP281	1	0.5464314743550002	0.2624675561233934	1	0.5377122407252128	0.3023519219254417	0.5648194780488351
PU.1	1	0.9999962435678172	4.894202498219085e-06	1	0.5803737072408651	0.5538393303734184	0.5538442245759166
PBX	1	0.9636162654172128	0.016095877912670368	1	0.2938297804657064	0.5319041893610109	0.5480000672736813
ETV1	1	0.9999962435678172	1.631400832739695e-06	1	0.28540153888789055	0.5445436894949622	0.544545320895795
CSB	1	0.9999962435678172	1.631400832739695e-06	1	0.28775246249924374	0.540980951120387	0.5409825825212198
ZNF274	1	0.3961968365650067	0.40208899640940066	1	0.7267851261238605	0.13859396924021508	0.5406829656496157
RAD21	2	0.835779149024826	0.07791010606122623	2	0.4091446877654383	0.4513871861209753	0.5292972921822015
SMC1	1	0.8596177135184431	0.06569464389714438	1	0.3559772541746477	0.44857775119012766	0.5142723950872721
HDAC2	1	0.9999962278025855	1.6382476116840167e-06	2	0.32207782630320264	0.5131464362120436	0.5131480744596553
TCF7	1	0.9999962435678172	1.631400832739695e-06	1	0.31245734000187486	0.5052092687726351	0.5052109001734678
LYL1	1	0.9999962435678172	3.26280166547939e-06	1	0.3723273260644503	0.49885975768827395	0.4988630204899394
NFI	1	0.9999962435678172	1.631400832739695e-06	1	0.3314039628250948	0.479642302727842	0.47964393412867473
HSF1	1	0.9999962435678172	1.631400832739695e-06	1	0.3314039628250948	0.479642302727842	0.47964393412867473
NKX2-5	1	0.9999962435678172	1.631400832739695e-06	1	0.3314039628250948	0.479642302727842	0.47964393412867473
PAX6	1	0.9999962435678172	1.631400832739695e-06	1	0.3345156297557665	0.47558358564473013	0.4755852170455629
RAC3	1	0.9999962435678172	1.631400832739695e-06	1	0.3351292799241245	0.47478762661425256	0.4747892580150853
PRDM16	1	0.8596177135184431	0.06569464389714438	1	0.39358727585506464	0.4049589501676673	0.47065359406481166
HNF1A	1	0.9999962435678172	3.26280166547939e-06	1	0.45203652861607674	0.4601648926801213	0.46016815548178674
SREBP1	1	0.4576678510442238	0.33944959359076166	1	0.7764153605960068	0.1099058811197202	0.4493554747104819
ETV2	1	0.9999962435678172	1.631400832739695e-06	1	0.3723273260644503	0.4290750886177699	0.42907672001860264
UTX	1	0.9999962435678172	1.631400832739695e-06	1	0.3795341438945913	0.4207491477316473	0.42075077913248005
RCOR2	1	0.9249633281762841	0.03387548530030974	1	0.41251295013569467	0.38456241297056387	0.41843789827087363
BRCA1	1	0.9999962278025855	1.6382476116840167e-06	2	0.44457020134200187	0.41532375345476585	0.41532539170237753
EBNA1	1	0.6460584854690763	0.18972816502848744	1	0.6026384267500444	0.21994317934466412	0.40967134437315156
PPAR	1	0.9999962435678172	1.631400832739695e-06	1	0.39358727585506464	0.4049589501676673	0.40496058156850007
RXRA	1	0.9999962435678172	1.631400832739695e-06	1	0.41533527675784593	0.38160118025389406	0.3816028116547268
CNOT3	1	0.9999962435678172	1.631400832739695e-06	1	0.41722444594426383	0.3796302533910831	0.37963188479191584
TBX5	1	0.9999962435678172	1.631400832739695e-06	1	0.4186124764315749	0.3781878319824263	0.37818946338325904
RCOR1	1	0.518498908144799	0.28525215381146496	2	0.8491356445237098	0.09213019089634594	0.3773823447078109
NELFA	1	0.9999962435678172	1.631400832739695e-06	1	0.42649015431295184	0.37009099023364667	0.3700926216344794
