gene	logFC	logCPM	F	PValue	FDR	analysis	neglog10p	direction
ARL5C	-1.08943670470208	5.9004536235164	9.12854638905822	0.0038096445250851	0.189731165463546	pooled_retained	2.4191155461082	NS
PLSCR1	0.67558771767337	6.95535962702317	9.15469162821289	0.00374553513616123	0.189731165463546	pooled_retained	2.42648612453894	NS
BCAT1	0.48456834724437	7.13606988274605	9.13838522471626	0.0037683112271049	0.189731165463546	pooled_retained	2.42385323575377	NS
SUCLA2	-0.415942289712963	6.42413006614628	9.0742973839104	0.00388338642761644	0.189731165463546	pooled_retained	2.41078939157311	NS
ATP13A3	0.438306491790147	7.34204478350594	9.01850576882515	0.003986569353116	0.192655297216889	pooled_retained	2.39940067621791	NS
SNAP23	0.989870764798108	7.23511891411281	8.99572981243453	0.00405435143822782	0.193824155853343	pooled_retained	2.39207860861098	NS
GPBP1	0.505974543181324	8.35769030535222	8.89829128586396	0.0042188070249317	0.198645104037597	pooled_retained	2.37481033949701	NS
SEC14L1	0.502584333965954	8.13012836045837	8.88539401507688	0.00424455350507686	0.198645104037597	pooled_retained	2.37216798751188	NS
ARID5B	0.772383483106766	7.41887213882942	8.78515279017124	0.0044767594671872	0.200367612105537	pooled_retained	2.34903623929527	NS
CLSTN2	-0.753459115761693	6.15417207814979	8.82966353865852	0.00436781649175261	0.200367612105537	pooled_retained	2.35973561624961	NS
SDCBP	0.684267435073538	6.75391289485446	8.68086286667449	0.00468069055071127	0.200367612105537	pooled_retained	2.32969006995158	NS
NEDD9	0.640720089413777	6.66732971316595	8.75504352646969	0.00451422831597903	0.200367612105537	pooled_retained	2.34541647940485	NS
RALGPS2	0.558813678730167	7.55047897924418	8.70844477545112	0.00461590006378016	0.200367612105537	pooled_retained	2.33574360241269	NS
CYTH1	0.521614574320957	7.54489572895311	8.67578079314472	0.00468696168667922	0.200367612105537	pooled_retained	2.32910859658259	NS
ATP11A	0.446135487015387	8.09796627279643	8.68159445978373	0.00467405923242587	0.200367612105537	pooled_retained	2.33030578827398	NS
RBM47	0.391814407733843	9.39242512186543	8.81137865549216	0.00439553520818649	0.200367612105537	pooled_retained	2.35698823690182	NS
REV1	-0.291707414155916	7.66828949251632	8.73279098482633	0.00456203607856495	0.200367612105537	pooled_retained	2.34084128445619	NS
PADI2	1.1685271929618	7.34592156147475	8.54818848606893	0.00500798594157605	0.200396418054285	pooled_retained	2.30033689894789	NS
TYMP	1.16539507387709	6.53250468191097	8.52888760922828	0.00505408072277121	0.200396418054285	pooled_retained	2.2963578258957	NS
C1QB	0.953304671783957	7.67684069327186	8.62338898487446	0.00483256594860557	0.200396418054285	pooled_retained	2.31582221056996	NS
DNAJA1	0.871458164545162	6.64436041588619	8.57137963272884	0.00494817503957134	0.200396418054285	pooled_retained	2.30555494579001	NS
TNFAIP8	0.761659020422539	6.48819168735117	8.64415702898298	0.00476762889215782	0.200396418054285	pooled_retained	2.32169755703471	NS
PTPN1	0.760981937247449	6.8224261902615	8.49353074251328	0.00513157499872696	0.200396418054285	pooled_retained	2.28974931943484	NS
CC2D2B	-0.640376329173859	6.38751063918329	8.56838643333375	0.00493216074111594	0.200396418054285	pooled_retained	2.30696277801262	NS
WLS	-0.529331054181245	7.26004154189478	8.5647468556988	0.00494070308109469	0.200396418054285	pooled_retained	2.30621124489965	NS
NUFIP2	0.500609506656896	7.82493009017465	8.48232770624179	0.00513836969369961	0.200396418054285	pooled_retained	2.28917465247182	NS
WNK1	0.247897786591331	8.58342995967051	8.493987492416	0.00510990821537682	0.200396418054285	pooled_retained	2.29158690063111	NS
KLHL6	0.786594204056958	6.95127555043411	8.39509596574009	0.0053808683211441	0.207134740871914	pooled_retained	2.26914763573649	NS
AL390729.1	-0.561919363532445	6.84768597137956	8.34417360826711	0.00548858530979076	0.207134740871914	pooled_retained	2.26053958110999	NS
FAM13A	0.51213338768672	8.55157384484798	8.34158528474385	0.00549750324401392	0.207134740871914	pooled_retained	2.25983450569488	NS
DCAF6	0.448953474679847	8.15129671335075	8.35209358364461	0.00546784509916057	0.207134740871914	pooled_retained	2.26218379723748	NS
STX6	0.489506439006422	6.30429321202243	8.29832621237256	0.00561028449386878	0.209607771930593	pooled_retained	2.25101511539542	NS
GNA12	0.507746533771668	6.84815864871052	8.23704778838548	0.00577739538811237	0.214052499129563	pooled_retained	2.23826790959214	NS
SCIN	0.896921812107919	7.35745621953315	8.17186170392172	0.00599229849837864	0.214463605337159	pooled_retained	2.22240656096783	NS
TNFRSF21	-0.775528603863189	5.87515014308645	8.13648434013165	0.00607791594072921	0.214463605337159	pooled_retained	2.21624531062822	NS
MBNL2	0.654009346178521	8.50313428997742	8.14439510485618	0.00606933850544516	0.214463605337159	pooled_retained	2.21685863991154	NS
ERMAP	-0.556802004902671	6.32021828318499	8.152277433683	0.00601725635051116	0.214463605337159	pooled_retained	2.22060148605847	NS
CENPP	-0.414976549433399	7.32636803383936	8.17742560730492	0.00594502395655729	0.214463605337159	pooled_retained	2.22584639097301	NS
SNX30	0.363456890599445	7.2343937382172	8.21158230119444	0.00584837507082837	0.214463605337159	pooled_retained	2.23296478277255	NS
SLC11A1	1.51628051302347	8.25883740342234	7.72527501678933	0.00743106480979089	0.216687781485129	pooled_retained	2.12894895099274	NS
C1QA	0.94711972242872	6.65670175004084	8.09695533152743	0.00621146160606365	0.216687781485129	pooled_retained	2.20680619487022	NS
PTGES3	0.899026612943034	7.97146536097561	7.66492590950706	0.00765181774475153	0.216687781485129	pooled_retained	2.11623538278893	NS
PDE10A	-0.852678528410831	5.91303114747864	7.98691944686727	0.00654255500874093	0.216687781485129	pooled_retained	2.18425261719519	NS
ELOVL5	0.763879045748517	6.90581139160435	8.00401908620327	0.0064879719209703	0.216687781485129	pooled_retained	2.18789103835825	NS
CERS6	0.763540155638451	7.90074951046687	8.02176955953848	0.00643995079937709	0.216687781485129	pooled_retained	2.19111745059681	NS
HCN1	-0.72129530779096	6.43506926930096	7.92998634764587	0.00671040272295234	0.216687781485129	pooled_retained	2.17325141498637	NS
AMOT	0.698005592576239	5.9935062482452	7.86077956221291	0.00692801931757074	0.216687781485129	pooled_retained	2.15939091003478	NS
GAS7	0.668374222145584	7.23945548427716	7.6851927997564	0.00756905864177174	0.216687781485129	pooled_retained	2.12095813002512	NS
SNCA	0.616202382732065	8.43015793506386	7.92979651495103	0.0067251672324393	0.216687781485129	pooled_retained	2.17229691173856	NS
GPR155	0.598844229292256	6.56884657406944	7.76996138549469	0.00723688165418227	0.216687781485129	pooled_retained	2.14044852939907	NS
FNDC3B	0.573181850519116	8.22520618544949	7.72699840351442	0.00741078828137196	0.216687781485129	pooled_retained	2.13013559390437	NS
POU2F2	0.555001168725749	8.43151258324075	7.92542216136473	0.00672647066352114	0.216687781485129	pooled_retained	2.17221274757468	NS
CIRBP	-0.528603762348223	7.93494154476593	7.80003205231302	0.00714080770837211	0.216687781485129	pooled_retained	2.14625266169029	NS
Z93930.2	-0.527337310680752	6.29638561146296	7.71541196907216	0.00743109483761051	0.216687781485129	pooled_retained	2.12894719607734	NS
PHACTR1	-0.516291905547398	8.72227015059637	7.66761124288373	0.00761977722894052	0.216687781485129	pooled_retained	2.11805772546566	NS
SCARB2	0.492058738062274	6.93357132449966	7.69371511765009	0.00750986306052425	0.216687781485129	pooled_retained	2.12436798211712	NS
HDAC5	-0.484045426572562	6.1230478527328	7.93876423075572	0.00666905605922423	0.216687781485129	pooled_retained	2.17593563194266	NS
NR3C2	-0.47019831992698	7.89256461918183	7.87782991623371	0.00686841477154949	0.216687781485129	pooled_retained	2.16314348643539	NS
DPH6	-0.466833934682419	7.51831329249847	7.71820651032204	0.00742101303665032	0.216687781485129	pooled_retained	2.12953680547612	NS
