p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.79698938220905e-07,0.52592730149338,0.233,0.183,0.0211467933659288,6,CREG2
7.54758534135493e-07,0.498593522691669,0.256,0.208,0.0234820475140235,6,NPTXR
5.34676636377232e-05,0.473462145715701,0.388,0.362,1,6,ENC1
1.42075610158006e-09,0.456795116444651,0.602,0.577,4.42025638323588e-05,6,CALM1
2.01187001003375e-07,0.444949758626517,0.34,0.289,0.006259329975217,6,OLFM1
2.3559293600171e-10,0.437505183909053,0.654,0.605,7.32976742488519e-06,6,AC244021.1
1.91213883272605e-07,0.43730742264274,0.319,0.266,0.00594904633637727,6,ATP2B2
2.44696501979653e-17,0.432300713447922,0.725,0.655,7.61299756959096e-13,6,SYNDIG1
5.05126564933639e-263,2.81499140030668,0.673,0.287,1.57154976882154e-258,7,HSPH1
0,2.81253381273902,0.575,0.067,0,7,CD83
1.29237793043034e-215,2.40393563946246,0.483,0.156,4.02084621715486e-211,7,SNAP23
1.99713382842826e-232,2.33802956897768,0.666,0.297,6.21348276700602e-228,7,P4HA1
1.21459222405702e-306,2.32673674293702,0.428,0.09,3.77883932748621e-302,7,DNAJA4
0,2.27347840696016,0.424,0.06,0,7,BAG3
2.27217040448035e-104,2.25708662317581,0.518,0.288,7.06917656241925e-100,7,SESN3
2.37296728083683e-260,2.23575637742366,0.552,0.172,7.38277580413954e-256,7,HSPD1
1.15798637748378e-156,2.21670174217599,0.503,0.216,3.60272721762753e-152,7,ABHD3
2.2812948284579e-198,2.18814976013446,0.587,0.251,7.09756447029822e-194,7,PTGES3
0,3.60920117759859,0.838,0.148,0,8,LHFPL3
0,3.17220129783499,0.826,0.197,0,8,PCDH15
0,2.89976478583742,0.81,0.191,0,8,TNR
0,2.54795277843331,0.764,0.089,0,8,VCAN
0,2.41555363868405,0.781,0.215,0,8,PTPRZ1
0,2.36952696200197,0.886,0.454,0,8,LRRC4C
0,2.35752954619862,0.727,0.164,0,8,SOX6
0,2.29350003003673,0.59,0.021,0,8,AC004852.2
0,2.2904791283224,0.657,0.093,0,8,SEMA5A
0,2.09783738188756,0.762,0.237,0,8,SLC35F1
0,2.19141705036081,0.972,0.324,0,9,DLGAP2
0,2.18249914964408,0.906,0.202,0,9,ASIC2
0,2.16704508383791,0.953,0.393,0,9,STXBP5L
0,2.08450991715287,0.966,0.37,0,9,AGBL4
0,2.07951884709982,0.995,0.794,0,9,KCNIP4
0,1.98595352267321,0.88,0.249,0,9,CNTNAP5
0,1.8957636100633,0.941,0.427,0,9,IQCJ-SCHIP1
0,1.88677338398826,0.917,0.212,0,9,CACNA1B
0,1.88096101413369,0.984,0.518,0,9,OPCML
0,1.82123654890775,0.831,0.122,0,9,RBFOX3
