p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.38504651755859e-34,0.377064776140073,0.134,0.095,4.30915672542829e-30,0,ABHD15-AS1
1.52203349257376e-68,0.376569936300161,0.594,0.548,4.73535060209549e-64,0,DISC1
7.62834559792288e-20,0.375848776537354,0.31,0.294,2.37333088242577e-15,0,ABHD12
3.20806160602001e-24,0.375604796357488,0.218,0.185,9.98092126864945e-20,0,TMIGD3
4.78222996928718e-28,0.3748471890069,0.27,0.235,1.48784738804463e-23,0,PGK1
8.54607894053372e-60,0.374445977352202,0.533,0.497,2.65885607997885e-55,0,RAPGEF1
1.27021361756159e-36,0.374384244698073,0.439,0.407,3.95188860695761e-32,0,CSF2RA
8.06524758457032e-35,0.374136543929485,0.365,0.329,2.50925982851152e-30,0,TBC1D14
1.41461562211877e-38,0.373366299211142,0.164,0.119,4.40115212353591e-34,0,C1QA
3.53570949546447e-27,0.373008368264561,0.269,0.236,1.1000299382289e-22,0,IL17RA
3.42943145928739e-20,0.372166017517698,0.286,0.261,1.06696471561349e-15,0,CD86
9.7928613328319e-15,0.370818829278778,0.351,0.34,3.04675501787066e-10,0,RASSF8
5.55739801531595e-34,0.369944283255296,0.432,0.405,1.7290176705251e-29,0,LIMS1
5.7066121785886e-35,0.369888553485334,0.433,0.41,1.77544118100249e-30,0,SIPA1L2
1.49114326030716e-31,0.369427737022995,0.305,0.269,4.63924491146763e-27,0,MTCH1
1.14942204992357e-76,0.369400976472406,0.607,0.558,3.5760818817222e-72,0,DOCK2
2.22416796501616e-09,0.369270261635368,0.249,0.235,6.91983137275827e-05,0,TMEM163
1.13772569425669e-41,0.368467501654955,0.482,0.45,3.53969217997142e-37,0,SRGAP1
6.70292367103499e-31,0.367701538963898,0.355,0.319,2.08541361253241e-26,0,FAM149A
1.74368867228909e-27,0.367597503537675,0.505,0.495,5.4249641972258e-23,0,RASGEF1C
1.05539872050466e-35,0.367396998277197,0.2,0.155,3.28355649923409e-31,0,RPL29
1.00609608332816e-90,0.366773760422307,0.621,0.565,3.13016613445058e-86,0,ETV6
4.78355209882165e-24,0.366572297239848,0.43,0.416,1.48825872898539e-19,0,USP53
3.69773261109983e-170,0.366352366830023,0.845,0.785,1.15043856996538e-165,0,SLC8A1
9.47956302190033e-42,0.366344028441451,0.135,0.09,2.94928164737363e-37,0,HIF1A-AS2
1.37243837866335e-46,0.365521736978759,0.482,0.451,4.2699302836974e-42,0,LRCH1
7.67970059751412e-45,0.365386043239931,0.447,0.408,2.38930844989859e-40,0,TUBA1B
5.03682923999352e-33,0.365175648935839,0.306,0.265,1.56705831314678e-28,0,BHLHE41
4.19177944590867e-12,0.364518702863945,0.16,0.141,1.3041464212111e-07,0,AC079015.1
4.35635506319923e-25,0.363688029686947,0.4,0.383,1.35534918726254e-20,0,HTRA1
8.90555381214628e-24,0.362903846131875,0.3,0.272,2.77069590203495e-19,0,B3GNT5
3.11081112542869e-18,0.362671355161452,0.255,0.233,9.67835557343374e-14,0,HAVCR2
1.80572842901201e-54,0.361570834215047,0.533,0.498,5.61798228834216e-50,0,PAG1
1.5330573866766e-43,0.358818822723885,0.207,0.154,4.76964814142823e-39,0,SRP14
1.57922297830945e-104,0.358540277223316,0.706,0.649,4.91327853011637e-100,0,PICALM
4.94556671573544e-32,0.358439626094378,0.203,0.16,1.53866471659961e-27,0,C1QTNF4
5.87820183212259e-17,0.357965836983555,0.273,0.251,1.82882615400998e-12,0,PGM5
1.46734748715142e-19,0.356614377708651,0.221,0.191,4.56521150202551e-15,0,OLR1
7.25350319211475e-43,0.355639932404174,0.461,0.428,2.25670991313074e-38,0,LRRK1
