Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library
77	HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3384	0.07206512492233214	2.6417206040992447	6.948214054979246	CX3CR1;PRKCH;ST8SIA4;BLNK	0.6041959085574768	0	0	Drug_Perturbations_from_GEO_down
78	dexamethasone DB01234 human GSE34313 sample 3169	0.07272728528932591	2.6330645161290325	6.9013638683628615	PELI1;PLA2G4A;TGFBR1;PAG1	0.6041959085574768	0	0	Drug_Perturbations_from_GEO_down
79	ethanol 702 human GSE44456 sample 3037	0.07540713956769782	2.598991507430998	6.71801182461854	P2RY12;CX3CR1;BLNK;DLEU2	0.6080919142764074	0	0	Drug_Perturbations_from_GEO_down
80	cisplatin DB00515 mouse GSE6206 sample 3412	0.07744963449541971	2.5740010515247107	6.584622698263069	MBNL1;PLA2G4A;RHOQ;PICALM	0.6080919142764074	0	0	Drug_Perturbations_from_GEO_down
81	methotrexate DB00563 human GSE41831 sample 2601	0.07744963449541971	2.5740010515247107	6.584622698263069	CX3CR1;USP53;PDK4;ARHGAP15	0.6080919142764074	0	0	Drug_Perturbations_from_GEO_down
82	formaldehyde 712 rat GSE7002 sample 3542	0.07813664317114552	2.565775681341719	6.540922064769086	DOCK4;MGAT4A;PDK4;NPL	0.6080919142764074	0	0	Drug_Perturbations_from_GEO_down
83	dexamethasone DB01234 mouse GSE4165 sample 2710	0.07882672962842319	2.5576018808777428	6.49759558661518	FAM49B;RAP1A;GNB4;OLR1	0.6080919142764074	0	0	Drug_Perturbations_from_GEO_down
84	actinomycin D 2019 human GSE6400 sample 3098	0.07882672962842319	2.5576018808777428	6.49759558661518	CEBPB;PDK4;PLA2G4A;RIN2	0.6080919142764074	0	0	Drug_Perturbations_from_GEO_down
85	pyrazinamide 1046 mouse GSE48027 sample 3325	0.07982587600900273	3.077475788815995	7.779574331724068	CEBPB;OLR1;TLR2	0.608554913574515	0	0	Drug_Perturbations_from_GEO_down
86	estradiol DB00783 human GSE8597 sample 2731	0.0816743571184012	3.0463917525773194	7.63125762325125	CDK6;ST8SIA4;BLNK	0.6114138337876361	0	0	Drug_Perturbations_from_GEO_down
87	morphine 5288826 mouse GSE7762 sample 3492	0.08232309594637906	2.5174897119341564	6.2864325709885955	P2RY12;PRKCH;RAP1A;PICALM	0.6114138337876361	0	0	Drug_Perturbations_from_GEO_down
88	adenosine triphosphate 5957 human GSE30903 sample 3221	0.08303150829214813	2.5096153846153846	6.245266035469434	CX3CR1;OLR1;NPL;RHOQ	0.6114138337876361	0	0	Drug_Perturbations_from_GEO_down
