Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library
100	Coenzyme Q10 5281915 mouse GSE15129 sample 3452	0.3159942077050888	1.776593823370056	2.046691861769839	GPM6A;SPARCL1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
101	cisplatin DB00515 human GSE47856 sample 3147	0.3191882375654247	1.5311633261813804	1.7485491122008423	RIMS2;NTRK2;FRMD5	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
102	calcitriol 5280453 human GSE52819 sample 3126	0.31967013231944647	1.7608306480486933	2.0081668719746295	PCDH9;NTM	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
103	nicotinamide riboside 439924 mouse GSE62194 sample 3471	0.31967013231944647	1.7608306480486933	2.0081668719746295	CLU;MT3	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
104	thapsigargin 446378 human GSE19519 sample 3236	0.32192880901947224	1.5232739768822243	1.7265165755324237	NRCAM;LRRC4C;DLGAP2	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
105	d-serine 71077 rat GSE10748 sample 3389	0.32466973204994864	1.5154639175257731	1.704816318512781	GABRB1;SYT1;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
106	VX 39793 human GSE33606 sample 3376	0.32517550247593285	1.7376976764731866	1.952112600759934	SPARCL1;ZNF385B	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
107	Vincristine 5978 human GSE7556 sample 3092	0.32517550247593285	1.7376976764731866	1.952112600759934	TENM2;EDIL3	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
108	d-serine 71077 rat GSE10748 sample 3387	0.33837475064059924	1.4775621588841723	1.6010882288862256	SYT1;CLU;DCLK1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
109	methamphetamine 10836 mouse GSE30305 sample 2619	0.3452607466801542	1.6577837746668915	1.7629790407837798	PTPRD;DCLK1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
110	cisplatin DB00515 human GSE47856 sample 3144	0.35480386765833766	1.4344624447717231	1.486375823760767	FRMD5;CSMD3;DCLK1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
111	etanercept DB00005 human GSE11903 sample 2610	0.36155446963893423	1.597609561752988	1.6253162206072418	PLP1;DCLK1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
112	cisplatin DB00515 human GSE47856 sample 3149	0.36335610548446884	1.591188856494979	1.610874915736704	DGKB;ERBB4	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
113	cyclosporine DB00091 mouse GSE1809 sample 3299	0.36335610548446884	1.591188856494979	1.610874915736704	FRMD5;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
114	metformin DB00331 human GSE33612 sample 2483	0.36874977265728914	1.5722288915566227	1.5685136955847134	ANK2;PRKG1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
115	NVP-TNKS656 27924 human GSE55624 sample 3249	0.37412603435523517	1.5537098560354374	1.5275493410390297	FRMD5;DCLK1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
116	Phosgene 6371 mouse GSE2565 sample 3610	0.37591413536260954	1.5476321802852415	1.5141948520108266	SPARCL1;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
117	angiotensin II 172198 mouse GSE29145 sample 3216	0.3777002020023565	1.5416012558869703	1.5009870222632478	RYR2;SPARCL1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
118	methylprednisolone 6741 rat GSE490 sample 3662	0.3777002020023565	1.5416012558869703	1.5009870222632478	SPARCL1;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
119	morphine 5288826 mouse GSE7762 sample 3492	0.39544376700714473	1.4837490551776267	1.3765432657004266	ROBO2;OPCML	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
120	etanercept DB00005 human GSE41663 sample 2602	0.4024784185496244	1.4617905556383137	1.3303957604238932	SPARCL1;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
