gene	logFC_baseline	FDR_baseline	logFC_neuronal_filtered	FDR_neuronal_filtered	direction_same
ANGEL1	0.157521419590192	0.231316575512503	0.117590676177748	0.433205454508966	TRUE
ANK2	-0.424936637850163	2.22326927297938e-09	-0.430971752598684	4.37943242180261e-09	TRUE
ANK3	-0.603458307169718	3.87426112566592e-08	-0.650086297638895	1.49285200446264e-08	TRUE
ANKAR	0.0854655715358564	0.368506100839223	0.093902994364151	0.34295962765306	TRUE
ANKFY1	0.0583421642682109	0.500995622853981	0.0414013544870584	0.651628339174638	TRUE
ANKH	0.0211305976009947	0.847301596574316	0.0273538086478458	0.808621634866529	TRUE
ANKIB1	0.0260267623871251	0.788775094256515	0.00691285687893813	0.950667245703481	TRUE
ANKLE2	-0.0704216409428124	0.5696056123605	-0.0998676621846649	0.398960681651638	TRUE
ANKMY1	0.101469602814778	0.353364711530717	0.0917796766460484	0.438669881538973	TRUE
ANKRD10	0.173564346503383	0.0271947174646517	0.17378694612505	0.0315902571857126	TRUE
ANKRD11	-0.212728135976881	1.74640875172679e-05	-0.22653629053019	1.17783986201944e-05	TRUE
ANKRD12	-0.111868476646669	0.0516335748027678	-0.129385344315923	0.029492416805155	TRUE
ANKRD13A	0.118201381436958	0.351745614878854	0.125568431757307	0.370127332834865	TRUE
ANKRD13C	-0.0205641725791891	0.872775635007496	-0.0401103318586846	0.766108208952105	TRUE
ANKRD13D	-0.0979239574757793	0.279268692098468	-0.114895415824447	0.196765155171963	TRUE
ANKRD17	0.118191039856069	0.0164664724472695	0.120611932180183	0.016934058522099	TRUE
ANKRD26	-0.395476666788194	0.000280566964382136	-0.396101378165412	0.000773981141349682	TRUE
ANKRD28	-0.105078228712657	0.475006262432072			
ANKRD30BL	-0.647441724778768	2.85004495672785e-07	-0.70075693807252	2.24071100796895e-07	TRUE
ANKRD36	-0.18852223209748	0.0535291978676753	-0.222187808542512	0.0269421869714333	TRUE
ANKRD36C	-0.446740041894929	1.2097018465964e-06	-0.483575626786137	3.96871172403016e-06	TRUE
ANKRD44	0.162216108783807	0.000827083280187677	0.159378108554298	0.0015657522768629	TRUE
ANKS1A	0.165010216852946	0.00363138815337885	0.146655306941088	0.0158721943764594	TRUE
ANKS1B	-0.629623160140948	2.89377831524545e-09	-0.631766954956131	1.78136040635441e-08	TRUE
