gene	logFC_baseline	FDR_baseline	logFC_combined_filtered	FDR_combined_filtered	direction_same
UBR3	0.0278125907766813	0.748941263248636	0.0200567966596575	0.830079701350119	TRUE
UBR4	-0.0145738020045243	0.896894880217718	-0.0259126364092545	0.8288352632274	TRUE
UBR5	0.0194784646075573	0.810396352985057	0.0174310170044012	0.839443249785328	TRUE
UBXN2B	0.15291083118492	0.121825279159874	0.126136234819457	0.245637546919026	TRUE
UBXN4	-0.126180054520269	0.152282751702017	-0.135327544010634	0.161093361647819	TRUE
UBXN7	0.0727797965698011	0.573303970336888	0.0661699013470475	0.64068724943005	TRUE
UCHL1	-0.449062602079248	7.49703891268517e-06	-0.523404181865801	5.22025048375619e-07	TRUE
UGCG	0.0588978347359819	0.582632514440081	0.0382447920268412	0.752328563001945	TRUE
UGGT1	0.0833470375286982	0.442335791797806	0.0956672397039356	0.366183179410244	TRUE
UGGT2	0.0249215813567165	0.776379752832052	0.0143315132303513	0.881152063206679	TRUE
UGP2	-0.0298474475550066	0.817688587608138	-0.0341118048823212	0.793477724949561	TRUE
UHRF1BP1	0.0598482622541771	0.64209240496653	0.0651582441033825	0.579720594622376	TRUE
UHRF1BP1L	-0.050792851664448	0.574995497439437	-0.0642976419104946	0.505850033005887	TRUE
UHRF2	0.107323257586287	0.268683911468019	0.0960985950120067	0.383578445365206	TRUE
UIMC1	0.207851471688935	0.0187837357094432	0.203609429742976	0.0279420720848558	TRUE
ULK2	0.112989103992838	0.207284555934645	0.12116202067543	0.169687547714475	TRUE
ULK4	-0.0356497337888252	0.742641900996473	-0.0131135085939836	0.916246200885656	TRUE
UMAD1	0.202079925181922	0.00214687804398228	0.209447778829686	0.00254988014115716	TRUE
UNC5C	-0.151987329387908	0.17881638073423	-0.197514613402294	0.0705265549799054	TRUE
UNC5D	-0.564301861893904	2.45710242338097e-05	-0.64528541090324	1.63474757626975e-05	TRUE
UNC79	-0.395889611856745	0.00183017790303572	-0.32208614817018	0.0157848739958488	TRUE
UNC80	-0.415440970733415	0.000569032232401073	-0.485602052635127	6.77799567403889e-05	TRUE
UNC93B1	0.0266267068309402	0.837080969958253	0.0467720112099061	0.721776760431962	TRUE
UNK	0.0286012319874032	0.797376619008855	0.0253204973222326	0.833744180256466	TRUE
UPF2	-0.265708894133334	0.00214072153573195	-0.295611135285885	0.00160337998298636	TRUE
UPF3A	-0.0542784394115802	0.627367351419898	-0.107074948003314	0.343554733513165	TRUE
UPF3B	-0.15383721694582	0.292350786437135	-0.119010895325078	0.437564363868053	TRUE
UQCC1	0.113135327292679	0.310492194738322	0.147546139071235	0.190874806219974	TRUE
UQCRC2	0.157513887278317	0.167153571970261	0.178182614231452	0.147781199925379	TRUE
